Temperatura (C),Umidade (%)
27.9,60.5
27.9,60.4
27.9,60.4
27.9,60.4
27.9,60.3
27.9,60.3
27.9,60.2
27.9,60.2
27.9,60.1
27.8,60.1
27.8,60.1
27.8,60.1
27.8,60.1
27.8,60.1
27.8,60.2
27.8,60.2
27.8,60.3
27.7,60.3
27.7,60.3
27.7,60.4
27.7,60.4
27.6,60.4
27.6,60.5
27.6,60.6
27.6,60.6
27.6,60.6
27.6,60.7
27.5,60.7
27.6,60.8
27.5,60.8
27.5,60.9
27.5,60.9
27.5,61.0
27.5,61.0
27.5,61.0
27.5,61.1
27.5,61.1
27.5,61.1
27.4,61.1
27.4,61.2
27.4,61.2
27.5,61.4
27.5,61.6
27.5,61.6
27.5,61.6
27.5,61.7
27.5,61.8
27.4,61.7
27.5,61.7
27.5,61.7
27.5,61.6
27.5,61.5
27.5,61.4
27.5,61.4
27.5,61.3
27.5,61.2
27.5,61.2
27.4,61.2
27.4,61.2
27.4,61.2
27.4,61.2
27.4,61.2
27.4,61.2
27.4,61.2
27.4,61.3
27.3,61.3
27.3,61.3
27.4,61.4
27.3,61.4
27.3,61.4
27.3,61.4
27.2,61.2
27.1,60.9
26.9,60.6
26.7,60.5
26.5,60.4
26.3,60.1
26.3,60.0
26.3,60.5
26.3,60.8
26.3,61.2
26.2,60.9
26.1,60.6
26.0,60.3
25.8,60.1
25.8,60.2
25.8,60.6
25.7,61.1
25.5,61.0
25.3,60.8
25.1,60.6
25.1,60.9
24.9,61.0
24.8,61.2
24.5,61.5
24.3,61.6
24.0,61.7
24.0,61.7
24.0,62.0
23.8,62.3
23.8,62.5
23.8,63.2
23.5,63.3
23.1,63.2
22.8,63.3
22.6,63.4
22.4,63.8
22.2,64.0
22.0,64.4
21.8,64.6
21.6,64.9
21.4,65.2
21.2,65.6
21.1,65.9
20.9,66.3
20.7,66.8
20.6,67.2
20.4,67.5
20.3,67.8
20.0,68.1
19.9,68.3
19.6,68.5
19.5,68.6
19.3,68.7
19.1,68.8
18.8,68.9
18.6,68.9
18.3,69.0
18.0,69.0
18.0,69.3
17.7,69.7
17.5,69.9
17.1,70.0
17.0,70.2
16.8,70.4
16.6,70.5
16.4,70.7
16.2,70.8
16.0,71.0
15.9,71.1
15.7,71.2
15.5,71.4
15.4,71.4
15.2,71.7
15.1,71.8
14.9,72.1
14.8,72.3
14.8,72.6
14.7,72.9
14.6,73.2
14.5,73.4
14.4,73.7
14.4,73.9
14.3,74.1
14.2,74.4
14.2,74.6
14.3,74.9
14.2,75.2
14.2,75.5
14.1,75.6
14.1,75.8
14.1,75.9
14.1,76.1
14.0,76.2
14.1,76.3
14.0,76.4
14.0,76.5
14.0,76.6
14.1,76.7
14.1,76.9
14.1,77.0
14.1,77.1
14.1,77.2
14.1,77.2
14.1,77.3
14.1,77.3
14.1,77.4
14.1,77.5
14.4,77.7
14.6,78.4
15.6,80.1
16.2,81.5
16.7,83.2
16.9,84.4
16.9,85.6
17.0,86.5
17.4,87.4
17.6,88.1
19.0,88.9
20.1,89.7
20.7,90.2
21.2,90.7
21.4,91.0
21.7,91.4
21.9,91.6
22.0,91.8
22.1,91.9
22.2,91.9
22.4,91.8
22.6,91.5
22.8,90.9
22.9,90.5
23.1,89.8
23.2,89.2
23.2,88.3
23.2,87.0
23.2,85.5
23.3,84.3
23.3,83.5
23.4,82.5
23.4,81.9
23.5,81.2
23.5,80.8
23.6,80.5
23.6,80.2
23.7,79.7
23.7,79.3
23.7,78.8
23.8,78.4
23.9,78.0
23.9,77.7
24.0,77.4
24.0,77.1
24.1,76.9
24.1,76.5
24.2,76.3
24.2,76.0
24.3,75.8
24.3,75.5
24.3,75.3
24.4,75.0
24.4,74.7
24.5,74.5
24.5,74.2
24.6,74.1
24.6,74.1
24.6,74.1
24.7,74.1
24.7,74.1
24.8,74.0
24.8,74.0
24.9,73.8
24.9,73.6
24.9,73.5
25.0,73.4
